source_title,n_runs,measure,mean,sd,cv,min,max,range
ENTITY_35_TMBA_seed1,5,n_nodes,186.2,5.805170109479997,0.031177068257142844,179,195,16
ENTITY_35_TMBA_seed1,5,n_edges,160,13.564659966250536,0.08477912478906585,146,178,32
ENTITY_35_TMBA_seed1,5,F_prop,0.33746792677273224,0.04132933590237409,0.12246893000355358,0.3128491620111732,0.41025641025641024,0.09740724824523705
ENTITY_35_TMBA_seed1,5,M_prop,0.12668935386536861,0.005561048959506045,0.04389515606351352,0.11827956989247312,0.13333333333333333,0.015053763440860207
ENTITY_35_TMBA_seed1,5,V_prop,0.383200295750556,0.04119067602524531,0.10749124278353468,0.3128205128205128,0.41935483870967744,0.10653432588916462
ENTITY_35_TMBA_seed1,5,P_prop,0.15264242361134314,0.007705503641580777,0.050480747483415654,0.14358974358974358,0.16042780748663102,0.01683806389688744
ENTITY_35_TMBA_seed1,5,S_prop,0.5590561287017026,0.05485158355664059,0.09811462703042458,0.4863013698630137,0.6348314606741573,0.1485300908111436
ENTITY_35_TMBA_seed1,5,W_prop,0.07819936756981004,0.019440767458062048,0.24860517498056375,0.0449438202247191,0.09411764705882353,0.04917382683410443
ENTITY_35_TMBA_seed1,5,J_prop,0.30550934402721197,0.036005794919944524,0.1178549711289271,0.2647058823529412,0.363013698630137,0.09830781627719581
ENTITY_35_TMBA_seed1,5,E_prop,0.05723515970127528,0.01669451054743675,0.2916827809089659,0.028089887640449437,0.0684931506849315,0.040403263044482066
ENTITY_35_TMBA_seed1,5,Ext_prop,0.06138732913966949,0.007607908656809819,0.12393288262306015,0.05128205128205128,0.07065217391304347,0.019370122630992193
ENTITY_35_TMBA_seed1,5,Q0_prop,0.9362887763191636,0.020630258988329757,0.022034076996451445,0.8994413407821229,0.946524064171123,0.0470827233890001
ENTITY_35_TMBA_seed1,5,Q1_prop,0.06371122368083641,0.02063025898832975,0.3238088643796539,0.053475935828877004,0.1005586592178771,0.047082723389000096
ENTITY_35_TMBA_seed1,5,Q2_prop,0,0,0,0,0,0
ENTITY_35_TMBA_seed1,5,orphan_rate,0.12406656913982028,0.03742896222784562,0.3016845108827343,0.07262569832402235,0.17647058823529413,0.10384488991127178
ENTITY_35_TMBA_seed1,5,root_count,76,6.557438524302,0.08628208584607895,71,87,16
ENTITY_35_TMBA_seed1,5,leaf_count,38.2,2.7748873851023212,0.07264103102362097,34,41,7
ENTITY_35_TMBA_seed1,5,component_count,39.6,8.35463942968217,0.21097574317379214,29,49,20
ENTITY_35_E1_seed1,5,n_nodes,165.6,2.8809720581775866,0.01739717426435741,163,170,7
ENTITY_35_E1_seed1,5,n_edges,167,5.744562646538029,0.0343985787217846,159,174,15
ENTITY_35_E1_seed1,5,F_prop,0.34640679612863245,0.022403025471957966,0.06467259223066447,0.31901840490797545,0.37058823529411766,0.05156983038614221
ENTITY_35_E1_seed1,5,M_prop,0.13904510753866134,0.011770194604261222,0.08465018879566498,0.12352941176470589,0.15337423312883436,0.02984482136412847
ENTITY_35_E1_seed1,5,V_prop,0.40225473075291,0.01744532701797721,0.04336885481825003,0.3780487804878049,0.42073170731707316,0.042682926829268275
ENTITY_35_E1_seed1,5,P_prop,0.11229336557979622,0.0042540249124708536,0.03788313664397139,0.10975609756097561,0.11976047904191617,0.010004381480940558
ENTITY_35_E1_seed1,5,S_prop,0.7271174169399578,0.009430288175406004,0.012969415882090907,0.7126436781609196,0.7358490566037735,0.023205378442853974
ENTITY_35_E1_seed1,5,W_prop,0.046732445679923906,0.004961685944416965,0.10617218663025137,0.041176470588235294,0.05172413793103448,0.010547667342799188
ENTITY_35_E1_seed1,5,J_prop,0.15433362297106348,0.006769582160368492,0.04386330101016123,0.14465408805031446,0.16091954022988506,0.016265452179570594
ENTITY_35_E1_seed1,5,E_prop,0.0718165144090548,0.002169057993017809,0.030202774541009034,0.06918238993710692,0.07471264367816093,0.005530253741054009
ENTITY_35_E1_seed1,5,Ext_prop,0.060450148808543415,0.01165812026398715,0.19285511274605016,0.047058823529411764,0.07317073170731707,0.026111908177905305
ENTITY_35_E1_seed1,5,Q0_prop,0.926307081465134,0.013183042975277025,0.014231827910054937,0.9101796407185628,0.9390243902439024,0.028844749525339552
ENTITY_35_E1_seed1,5,Q1_prop,0.07369291853486608,0.013183042975277028,0.17889158466481117,0.06097560975609756,0.08982035928143713,0.028844749525339566
ENTITY_35_E1_seed1,5,Q2_prop,0,0,0,0,0,0
ENTITY_35_E1_seed1,5,orphan_rate,0.045816775669598915,0.015542676728532826,0.3392354983820032,0.018292682926829267,0.054878048780487805,0.03658536585365854
ENTITY_35_E1_seed1,5,root_count,90.8,7.886697661252141,0.08685790375828349,79,99,20
ENTITY_35_E1_seed1,5,leaf_count,15.6,5.941380311005179,0.38085771224392173,11,26,15
ENTITY_35_E1_seed1,5,component_count,14.8,4.711687595755899,0.31835726998350666,7,19,12
ENTITY_35_E2_seed1,5,n_nodes,146.8,8.700574693662482,0.059268219984076845,138,158,20
ENTITY_35_E2_seed1,5,n_edges,154,4.527692569068709,0.02940060109784876,149,160,11
